timestamp,distance,speed,throttle,brake
0.0002,0.448,80.7,1.0,0.0
0.0203,0.901,81.4,1.0,0.0
0.0409,1.357,82.1,1.0,0.0
0.0609,1.817,82.8,1.0,0.0
0.0814,2.281,83.5,1.0,0.0
0.1024,2.748,84.2,1.0,0.0
0.1226,3.22,84.9,1.0,0.0
0.1433,3.696,85.6,1.0,0.0
0.1633,4.175,86.3,1.0,0.0
0.1833,4.658,87.0,1.0,0.0
0.2042,5.146,87.7,1.0,0.0
0.2243,5.637,88.4,1.0,0.0
0.2448,6.132,89.1,1.0,0.0
0.2653,6.631,89.8,1.0,0.0
0.2854,7.133,90.5,1.0,0.0
0.3057,7.64,91.2,1.0,0.0
0.3265,8.151,91.9,1.0,0.0
0.3469,8.665,92.6,1.0,0.0
0.3669,9.183,93.3,1.0,0.0
0.3875,9.706,94.0,1.0,0.0
0.4085,10.232,94.7,1.0,0.0
0.4286,10.762,95.4,1.0,0.0
0.4494,11.296,96.1,1.0,0.0
0.4704,11.833,96.8,1.0,0.0
0.4906,12.375,97.5,1.0,0.0
0.5115,12.921,98.2,1.0,0.0
0.5316,13.47,98.9,1.0,0.0
0.5519,14.023,99.6,1.0,0.0
0.5721,14.581,100.3,1.0,0.0
0.5928,15.142,101.0,1.0,0.0
0.6134,15.707,101.7,1.0,0.0
0.6342,16.276,102.4,1.0,0.0
0.6545,16.848,103.1,1.0,0.0
0.6752,17.425,103.8,1.0,0.0
0.6959,18.006,104.5,1.0,0.0
0.7167,18.59,105.2,1.0,0.0
0.7368,19.178,105.9,1.0,0.0
0.757,19.771,106.6,1.0,0.0
0.7773,20.367,107.3,1.0,0.0
0.798,20.967,108.0,1.0,0.0
0.8182,21.571,108.7,1.0,0.0
0.8386,22.178,109.4,1.0,0.0
0.8589,22.79,110.1,1.0,0.0
0.8794,23.406,110.8,1.0,0.0
0.9001,24.025,111.5,1.0,0.0
0.9204,24.648,112.2,1.0,0.0
0.9406,25.276,112.9,1.0,0.0
0.9606,25.907,113.6,1.0,0.0
0.9811,26.542,114.3,1.0,0.0
1.0017,27.181,115.0,1.0,0.0
1.0221,27.823,115.7,1.0,0.0
1.0424,28.47,116.4,1.0,0.0
1.0624,29.121,117.1,1.0,0.0
1.0827,29.775,117.8,1.0,0.0
1.1034,30.433,118.5,1.0,0.0
1.1244,31.096,119.2,1.0,0.0
1.1449,31.762,119.9,1.0,0.0
1.1656,32.432,120.6,1.0,0.0
1.1858,33.106,121.3,1.0,0.0
1.2065,33.783,122.0,1.0,0.0
1.2266,34.465,122.7,1.0,0.0
