timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.002784,0.000,172.25,1.0000,0.0000
0.002791,1.024,184.35,1.0000,0.0000
0.002798,2.116,196.49,1.0000,0.0000
0.109376,3.269,207.50,0.9094,0.0000
0.109388,4.469,216.03,0.7114,0.0000
0.109391,0.000,0.00,0.0000,0.0000
0.109394,0.000,220.92,0.4961,0.0000
0.109397,1.232,221.71,0.0000,0.0875
0.109399,2.448,218.87,0.0000,0.2136
0.190654,3.634,213.61,0.0000,0.2801
0.190671,0.000,0.00,0.0000,0.0000
0.190677,0.000,207.38,0.0000,0.2898
0.190681,1.119,201.37,0.0000,0.2586
0.190685,2.209,196.31,0.0000,0.2073
0.270553,3.278,192.42,0.0000,0.1561
0.270564,4.331,189.54,0.0000,0.1206
0.270567,0.000,0.00,0.0000,0.0000
0.270570,0.000,187.29,0.0000,0.1107
0.270572,1.028,185.12,0.0000,0.1295
0.345336,2.042,182.51,0.0000,0.1735
0.345354,3.037,179.04,0.0000,0.2336
0.345359,4.007,174.52,0.0000,0.2970
0.345363,0.000,0.00,0.0000,0.0000
0.423019,0.000,169.01,0.0000,0.3504
0.423039,0.905,162.83,0.0000,0.3833
0.423047,1.774,156.42,0.0000,0.3893
0.423051,2.608,150.25,0.0000,0.3672
0.503701,3.412,144.72,0.0000,0.3197
0.503714,0.000,0.00,0.0000,0.0000
0.503718,0.000,140.14,0.0000,0.2518
0.503721,0.759,136.69,0.0000,0.1699
0.503723,1.507,134.49,0.0000,0.0804
0.581125,2.248,133.54,0.4118,0.0000
0.581132,2.992,133.83,0.5100,0.0000
0.581134,0.000,0.00,0.0000,0.0000
0.581137,0.000,135.27,0.5959,0.0000
0.581139,0.765,137.75,0.6629,0.0000
0.664737,1.549,141.07,0.7047,0.0000
0.664752,2.354,144.94,0.7158,0.0000
0.664760,0.000,0.00,0.0000,0.0000
0.664768,0.000,149.00,0.6919,0.0000
0.732886,0.849,152.78,0.6316,0.0000
0.732895,1.714,155.74,0.5370,0.0000
0.732897,2.588,157.36,0.4151,0.0000
0.732899,3.462,157.23,0.0000,0.1072
0.797666,0.000,0.00,0.0000,0.0000
0.797673,0.000,155.15,0.0000,0.2289
0.797676,0.840,151.21,0.0000,0.3392
0.797679,1.650,145.73,0.0000,0.4283
0.872129,2.423,139.20,0.0000,0.4906
0.872143,3.157,132.15,0.0000,0.5250
